"filename", "language", "C++", "Makefile", "Docker", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Python", "CSS", "TypeScript JSX", "comment", "blank", "total"
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/devices/test_device/src/main.cpp", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 44
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/hc_tools/docker_tools/Dockerfile", "Docker", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 1, 8, 41
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/hc_tools/docker_tools/Makefile", "Makefile", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/package.json", "JSON", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/src/auth_manager.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 9, 35
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/src/error_response.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/src/index.ts", "TypeScript", 0, 0, 0, 225, 0, 0, 0, 0, 0, 0, 21, 63, 309
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/src/response.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 2, 9, 52
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/src/ticket_service.ts", "TypeScript", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 31, 126
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/src/user_manager.ts", "TypeScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 17, 76
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/src/util/exception.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/src/util/logger.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 17, 68
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/src/util/token.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/homecontroller_api/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 0, 17
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/Makefile", "Makefile", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 11, 49, 158
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/client_packet.h", "C++", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 76
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/device.h", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 66
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/device_states/device_state.h", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/device_states/rgb_lights_state.h", "C++", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 66
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/info.h", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/message.h", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 25
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/request/login_device_request.h", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 36
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/request/request.h", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 31
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/request/validate_request.h", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 28
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/request_maker.h", "C++", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 67
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/response/login_device_response.h", "C++", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 49
"/Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev/libhomecontroller/include/homecontroller/api/response/response.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31
